label	effect	frames	fps	avg_wall_us	p95_wall_us	p99_wall_us	slow_gt_16_7ms	slow_gt_20ms	avg_cpu_pct	p95_cpu_pct	max_trace_cpu_pct	max_sample_cpu_pct	avg_cpu_us	p95_cpu_us	avg_draw_us	p95_draw_us	avg_present_us	p95_present_us	avg_vsync_us	p95_vsync_us	avg_clear_us	p95_clear_us	avg_background_us	p95_background_us	avg_projection_us	p95_projection_us	avg_image_blit_us	p95_image_blit_us	avg_sprite_us	p95_sprite_us	avg_post_us	p95_post_us	avg_hud_us	p95_hud_us	avg_palette_step_count	p95_palette_step_count	max_palette_step_count	avg_lut_lookup_count	p95_lut_lookup_count	max_lut_lookup_count	avg_row_op_count	p95_row_op_count	max_row_op_count	avg_dither_pixel_count	p95_dither_pixel_count	max_dither_pixel_count	avg_flash_pixel_count	p95_flash_pixel_count	max_flash_pixel_count	avg_trail_pixel_count	p95_trail_pixel_count	max_trail_pixel_count	avg_indexed_pixel_count	p95_indexed_pixel_count	max_indexed_pixel_count	avg_reflection_row_count	p95_reflection_row_count	max_reflection_row_count	rss_hwm_kb	visual_ok	date	notes
RASTER-FX-SMOKE	palette-cycling-lava-water-neon	61	61.7	16218	16434	16496	1	0	64	66	109	103	10493	10910	8953	9311	1370	1396	16427	16646	538	559	8174	8255	0	0	0	0	240	262	0	0	0	0	32	32	32	518400	518400	518400	15	15	15	0	0	0	0	0	0	0	0	0	518400	518400	518400	0	0	0	12364	not-run	2026-06-13T08:14:05Z	fb_format=565; preview_format=raw-rgb565; mode=mega; segment_secs=1
RASTER-FX-SMOKE	palette-gradient-sky	60	61.1	16353	16513	16751	2	0	19	22	26	103	3181	3610	1430	1637	1574	1610	16641	16656	561	634	869	1054	0	0	0	0	0	0	0	0	0	0	540	540	540	0	0	0	540	540	540	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12364	not-run	2026-06-13T08:14:05Z	fb_format=565; preview_format=raw-rgb565; mode=mega; segment_secs=1
RASTER-FX-SMOKE	per-scanline-color-bars	60	61.1	16371	16432	16638	1	0	18	19	21	103	3074	3116	1290	1330	1605	1617	16642	16654	550	596	739	780	0	0	0	0	0	0	0	0	0	0	6	6	6	0	0	0	540	540	540	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12364	not-run	2026-06-13T08:14:05Z	fb_format=565; preview_format=raw-rgb565; mode=mega; segment_secs=1
RASTER-FX-SMOKE	rainbow-raster-bands	60	61.1	16365	16447	16568	1	0	17	18	27	103	2958	2988	1245	1258	1520	1545	16637	16650	522	562	722	747	0	0	0	0	0	0	0	0	0	0	32	32	32	0	0	0	540	540	540	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12364	not-run	2026-06-13T08:14:05Z	fb_format=565; preview_format=raw-rgb565; mode=mega; segment_secs=1
RASTER-FX-SMOKE	copper-bar-horizontal-glow	60	61.1	16360	16471	16651	1	0	22	23	32	103	3745	3934	1969	2040	1581	1624	16640	16656	552	591	718	742	698	728	0	0	0	0	0	0	0	0	0	0	0	0	0	0	540	540	540	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12364	not-run	2026-06-13T08:14:05Z	fb_format=565; preview_format=raw-rgb565; mode=mega; segment_secs=1
RASTER-FX-SMOKE	screen-flash-action	60	61.1	16377	16476	16662	1	0	53	72	73	103	8856	11889	7208	10351	1460	1591	16637	16652	528	575	6394	9860	0	0	0	0	0	0	285	746	0	0	207	540	540	0	0	0	207	540	540	0	0	0	198720	518400	518400	0	0	0	0	0	0	0	0	0	12364	not-run	2026-06-13T08:14:05Z	fb_format=565; preview_format=raw-rgb565; mode=mega; segment_secs=1
RASTER-FX-SMOKE	fade-through-indexed-palettes	60	61.1	16376	16494	16849	2	0	61	65	77	103	10215	10742	8632	9070	1428	1445	16638	16653	521	599	8111	8471	0	0	0	0	0	0	0	0	0	0	96	96	96	518400	518400	518400	0	0	0	0	0	0	0	0	0	0	0	0	518400	518400	518400	0	0	0	12364	not-run	2026-06-13T08:14:05Z	fb_format=565; preview_format=raw-rgb565; mode=mega; segment_secs=1
RASTER-FX-SMOKE	day-night-palette-swap	60	61.1	16361	16453	16502	1	0	54	56	62	103	9047	9158	7438	7578	1445	1472	16640	16651	527	562	6328	6455	0	0	0	0	582	610	0	0	0	0	96	96	96	518400	518400	518400	24	24	24	0	0	0	0	0	0	0	0	0	518400	518400	518400	0	0	0	12364	not-run	2026-06-13T08:14:05Z	fb_format=565; preview_format=raw-rgb565; mode=mega; segment_secs=1
RASTER-FX-SMOKE	limited-color-posterize-transition	60	61.1	16360	16406	16445	1	0	47	48	57	103	7835	7991	6190	6330	1488	1511	16640	16655	556	600	0	0	0	0	5634	5784	0	0	0	0	0	0	0	0	0	8160	8160	8160	0	0	0	0	0	0	0	0	0	0	0	0	522240	522240	522240	0	0	0	12364	not-run	2026-06-13T08:14:05Z	fb_format=565; preview_format=raw-rgb565; mode=mega; segment_secs=1
RASTER-FX-SMOKE	dither-dissolve	60	61.1	16373	16453	16821	2	0	87	93	99	103	14349	15273	12756	13607	1435	1499	16642	16667	529	591	0	0	0	0	12226	13064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	518400	518400	518400	0	0	0	0	0	0	0	0	0	0	0	0	12364	not-run	2026-06-13T08:14:05Z	fb_format=565; preview_format=raw-rgb565; mode=mega; segment_secs=1
RASTER-FX-SMOKE	ordered-checker-dissolve	60	61.1	16363	16420	16846	2	0	88	90	98	103	14632	14838	13019	13200	1467	1498	16643	16665	547	610	0	0	0	0	12472	12637	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	518400	518400	518400	0	0	0	0	0	0	0	0	0	0	0	0	12364	not-run	2026-06-13T08:14:05Z	fb_format=565; preview_format=raw-rgb565; mode=mega; segment_secs=1
RASTER-FX-SMOKE	crt-phosphor-fade-trail	60	61.1	16374	16591	16724	2	0	79	85	98	103	13145	13886	11616	12015	1392	1761	16643	16661	530	830	8859	9078	0	0	0	0	0	0	2226	2443	0	0	0	0	0	0	0	0	180	180	180	0	0	0	0	0	0	518400	518400	518400	0	0	0	0	0	0	12364	not-run	2026-06-13T08:14:05Z	fb_format=565; preview_format=raw-rgb565; mode=mega; segment_secs=1
RASTER-FX-SMOKE	scanline-brightness-pulse	60	61.1	16373	16486	16605	1	0	22	23	33	103	3786	3829	1996	2046	1601	1624	16642	16659	548	587	750	775	0	0	0	0	0	0	697	718	0	0	6	6	6	0	0	0	1080	1080	1080	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12364	not-run	2026-06-13T08:14:05Z	fb_format=565; preview_format=raw-rgb565; mode=mega; segment_secs=1
RASTER-FX-SMOKE	palette-split-warning-tint	60	61.1	16365	16426	16533	0	0	24	25	35	103	4078	4208	2279	2332	1604	1631	16642	16659	547	583	870	873	0	0	0	0	0	0	861	953	0	0	542	542	542	0	0	0	1080	1080	1080	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12364	not-run	2026-06-13T08:14:05Z	fb_format=565; preview_format=raw-rgb565; mode=mega; segment_secs=1
RASTER-FX-SMOKE	water-reflection-flipped-wavy-rows	60	61.1	16359	16423	16586	0	0	73	75	92	103	12150	12317	10526	10710	1477	1494	16645	16653	555	703	1468	1492	8501	8602	0	0	0	0	0	0	0	0	540	540	540	0	0	0	632	632	632	0	0	0	0	0	0	0	0	0	0	0	0	270	270	270	12364	not-run	2026-06-13T08:14:05Z	fb_format=565; preview_format=raw-rgb565; mode=mega; segment_secs=1
