kind	ts_unix_ms	sample	mode	host	reboot_issue_ms	down_ms	agent_ready_ms	ssh_exec_ready_ms	agent_first_hostdown_ms	agent_first_noroute_ms	agent_first_timeout_ms	agent_first_refused_ms	agent_first_other_ms	agent_ok_count	agent_hostdown_count	agent_noroute_count	agent_timeout_count	agent_refused_count	agent_other_count	resolve_ms	tcp_ms	handshake_ms	auth_ms	exec_ms	agent_uptime_ms	ssh_uptime	agent_transitions	note
agent-boot	1781729647881	1	supervised	192.168.1.117	244	753	13696	14397			753			1	0	0	6	0	0	0	1	274	272	80	7121	12.01	753:timeout,13696:ok	connection timed out
agent-boot	1781729664528	2	supervised	192.168.1.117	349	738	11526	12131			738			1	0	0	5	0	0	0	0	231	138	84	5337	9.77	738:timeout,11526:ok	connection timed out
agent-boot	1781729679015	3	supervised	192.168.1.117	432	758	13703	14456			758			1	0	0	6	0	0	0	0	168	271	161	7501	12.05	758:timeout,13703:ok	connection timed out
agent-boot	1781730304879	1	raw	192.168.1.117	227	3204	17316	18281			3204			1	0	0	7	0	0	0	1	231	272	321	6301	11.37	3204:timeout,17316:ok	connection timed out
agent-boot	1781730325391	2	raw	192.168.1.117	384	9384	23488	24242			9384			1	0	0	7	0	0	0	2	237	271	97	6254	11.13	9384:timeout,23488:ok	connection timed out
agent-boot	1781730352024	3	raw	192.168.1.117	279	10698	24816	25541			10698			1	0	0	7	0	0	0	0	218	271	107	6665	11.20	10698:timeout,24816:ok	connection timed out
agent-boot	1781730518766	1	raw	192.168.1.117	229	3093	17198	17891			3093			1	0	0	7	0	0	0	0	173	273	83	5953	10.92	3093:timeout,17198:ok	connection timed out
agent-boot	1781730746501	1	raw	192.168.1.117	227	3081	17855	18599			3637	3081		1	0	0	6	12	0	0	1	202	271	89	6663	11.68	3081:refused,3637:timeout,3824:refused,7062:timeout,17855:ok	connection timed out
agent-boot	1781730873803	1	raw	192.168.1.117	227	3059	17942	18566			4995	3059		1	0	0	6	13	0	0	1	276	139	64	6818	11.65	3059:refused,4995:timeout,17942:ok	connection timed out
agent-boot	1781731102135	1	raw	192.168.1.117	233	3081	17968	18604			5025	3081		1	0	0	6	13	0	0	0	239	149	116	6720	11.64	3081:refused,5025:timeout,17968:ok	connection timed out
agent-boot	1781953768042	1	supervised	192.168.1.117	322	3509	17614	18734			3509			1	0	0	7	0	0	0	0	253	541	106	6179	11.54	3509:timeout,17614:ok	connection timed out main_status_ms=18818 launcher_state=LauncherActive
agent-boot	1781953789187	2	supervised	192.168.1.117	512	13552	27663	28893			13552			1	0	0	7	0	0	0	1	411	541	192	5976	11.55	13552:timeout,27663:ok	connection timed out main_status_ms=28982 launcher_state=LauncherActive
agent-boot	1781953820689	3	supervised	192.168.1.117	458	13482	27591	28535			13482			1	0	0	7	0	0	0	1	241	272	201	6129	11.28	13482:timeout,27591:ok	connection timed out main_status_ms=28627 launcher_state=LauncherActive
agent-boot	1781953851780	4	supervised	192.168.1.117	491	13059	27159	28274			13059			1	0	0	7	0	0	0	1	374	541	80	6295	11.55	13059:timeout,27159:ok	connection timed out main_status_ms=28366 launcher_state=LauncherActive
agent-boot	1781953882645	5	supervised	192.168.1.117	370	12903	26999	27952			12903			1	0	0	7	0	0	0	1	221	278	148	6264	11.34	12903:timeout,26999:ok	connection timed out main_status_ms=28045 launcher_state=LauncherActive
agent-boot	1781953913069	6	supervised	192.168.1.117	382	13503	27605	28576			13503			1	0	0	7	0	0	0	1	390	271	213	6148	11.36	13503:timeout,27605:ok	connection timed out main_status_ms=28617 launcher_state=LauncherActive
agent-boot	1781953944076	7	supervised	192.168.1.117	443	13417	31822	32542			13417			1	0	0	9	0	0	0	1	197	271	159	10798	15.42	13417:timeout,31822:ok	connection timed out main_status_ms=32623 launcher_state=LauncherActive
agent-boot	1781953979149	8	supervised	192.168.1.117	471	7697	21818	22788			7697			1	0	0	7	0	0	0	1	267	272	115	6184	11.41	7697:timeout,21818:ok	connection timed out main_status_ms=22881 launcher_state=LauncherActive
agent-boot	1781954004510	9	supervised	192.168.1.117	492	13156	27269	28165			13156			1	0	0	7	0	0	0	1	239	274	179	6238	11.31	13156:timeout,27269:ok	connection timed out main_status_ms=28255 launcher_state=LauncherActive
agent-boot	1781954035269	10	supervised	192.168.1.117	475	12935	27077	27903			12935			1	0	0	7	0	0	0	0	281	271	74	6387	11.34	12935:timeout,27077:ok	connection timed out main_status_ms=27991 launcher_state=LauncherActive
agent-boot	1781954065746	11	supervised	192.168.1.117	511	12893	27015	27779			12893			1	0	0	7	0	0	0	1	177	271	132	6449	11.24	12893:timeout,27015:ok	connection timed out main_status_ms=27855 launcher_state=LauncherActive
agent-boot	1781954096118	12	supervised	192.168.1.117	470	13451	27541	28284			13451			1	0	0	7	0	0	0	0	286	271	69	6482	11.16	13451:timeout,27541:ok	connection timed out main_status_ms=28362 launcher_state=LauncherActive
agent-boot	1781954126955	13	supervised	192.168.1.117	429	13488	31911	32697			13488			1	0	0	9	0	0	0	0	225	271	158	10466	15.48	13488:timeout,31911:ok	connection timed out main_status_ms=32770 launcher_state=LauncherActive
agent-boot	1781954162162	14	supervised	192.168.1.117	503	8135	22233	23229			8135			1	0	0	7	0	0	0	0	200	271	195	6334	11.41	8135:timeout,22233:ok	connection timed out main_status_ms=23290 launcher_state=LauncherActive
agent-boot	1781954187960	15	supervised	192.168.1.117	462	13478	27573	28291			13478			1	0	0	7	0	0	0	0	275	140	198	6249	11.07	13478:timeout,27573:ok	connection timed out main_status_ms=28385 launcher_state=LauncherActive
agent-boot	1781954770552	1	supervised	192.168.1.117	273	3511			21956	21903	3511			0	575	1	12	0	0								3511:timeout,21903:noroute,21956:hostdown,41706:timeout,48175:hostdown	Host is down (os error 64) main_status_ms= launcher_state=missing
agent-boot	1781955201985	1	supervised	192.168.1.117	250	3626	17715	18934			3626			1	0	0	7	0	0	0	1	508	541	87	5840	11.50	3626:timeout,17715:ok	connection timed out main_status_ms=19007 launcher_state=LauncherActive
agent-boot	1781955244332	1	supervised	192.168.1.117	344	3415	17522	18574			3415			1	0	0	7	0	0	0	1	318	271	206	5951	11.38	3415:timeout,17522:ok	connection timed out main_status_ms=18664 launcher_state=LauncherActive
agent-boot	1781955265343	2	supervised	192.168.1.117	452	13042	27150	27971			13042			1	0	0	7	0	0	0	0	268	271	142	6351	11.26	13042:timeout,27150:ok	connection timed out main_status_ms=28059 launcher_state=LauncherActive
agent-boot	1781955295863	3	supervised	192.168.1.117	447	12965	27057	28310			12965			1	0	0	7	0	0	0	0	516	541	104	6062	11.48	12965:timeout,27057:ok	connection timed out main_status_ms=28423 launcher_state=LauncherActive
agent-boot	1781955326741	4	supervised	192.168.1.117	478	13165	29424	30022			13165			1	0	0	8	0	0	0	1	219	137	83	8527	13.11	13165:timeout,29424:ok	connection timed out main_status_ms=30121 launcher_state=LauncherActive
agent-boot	1781955359348	5	supervised	192.168.1.117	347	11145	25238	25880			11145			1	0	0	7	0	0	0	0	232	137	75	6449	11.05	11145:timeout,25238:ok	connection timed out main_status_ms=25975 launcher_state=LauncherActive
agent-boot	1781955387677	6	supervised	192.168.1.117	449	12875	31299	32065			12875			1	0	0	9	0	0	0	0	237	274	137	10584	15.54	12875:timeout,31299:ok	connection timed out main_status_ms=32150 launcher_state=LauncherActive
agent-boot	1781955422283	7	supervised	192.168.1.117	460	8165	22273	23063			8165			1	0	0	7	0	0	0	1	225	138	144	6225	11.24	8165:timeout,22273:ok	connection timed out main_status_ms=23140 launcher_state=LauncherActive
agent-boot	1781955447891	8	supervised	192.168.1.117	474	13793	27890	28653			13793			1	0	0	7	0	0	0	1	275	271	93	6257	11.19	13793:timeout,27890:ok	connection timed out main_status_ms=28736 launcher_state=LauncherActive
agent-boot	1781955479109	9	supervised	192.168.1.117	484	13059	27164	27924			13059			1	0	0	7	0	0	0	0	279	275	100	6427	11.18	13059:timeout,27164:ok	connection timed out main_status_ms=28024 launcher_state=LauncherActive
agent-boot	1781955509623	10	supervised	192.168.1.117	381	13032	27137	28273			13032			1	0	0	7	0	0	0	1	413	541	90	6115	11.42	13032:timeout,27137:ok	connection timed out main_status_ms=28360 launcher_state=LauncherActive
agent-boot	1781955540373	11	supervised	192.168.1.117	465	12898	27001	27666			12898			1	0	0	7	0	0	0	0	298	143	61	6544	11.13	12898:timeout,27001:ok	connection timed out main_status_ms=27765 launcher_state=LauncherActive
agent-boot	1781955570609	12	supervised	192.168.1.117	394	13273	27381	28176			13273			1	0	0	7	0	0	0	2	246	272	101	6468	11.26	13273:timeout,27381:ok	connection timed out main_status_ms=28273 launcher_state=LauncherActive
agent-boot	1781955601282	13	supervised	192.168.1.117	397	12603	26714	27649			12603			1	0	0	7	0	0	0	0	374	272	84	6314	11.36	12603:timeout,26714:ok	connection timed out main_status_ms=27741 launcher_state=LauncherActive
agent-boot	1781955631424	14	supervised	192.168.1.117	407	13333	27437	28342			13333			1	0	0	7	0	0	0	1	300	271	109	6335	11.31	13333:timeout,27437:ok	connection timed out main_status_ms=28424 launcher_state=LauncherActive
agent-boot	1781955662264	15	supervised	192.168.1.117	452	12944	27054	27915			12944			1	0	0	7	0	0	0	1	257	273	100	6254	11.15	12944:timeout,27054:ok	connection timed out main_status_ms=28000 launcher_state=LauncherActive
agent-boot	1781956334073	1	supervised	192.168.1.117	248	3312	23893	24792			3312			1	0	0	10	0	0	0	1	179	271	279	12833	17.86	3312:timeout,23893:ok	connection timed out main_status_ms=24917 launcher_state=LauncherActive
