label	iteration	first_frame_ms	first_frame_catalog_ready	catalog_cache_load_sync_ms	catalog_cache_load_sync_total_us	catalog_summary_load_ms	catalog_summary_load_us	catalog_bridge_systems_us	catalog_bridge_sync_us	full_catalog_ready_ms	full_catalog_ready_load_us	catalog_load_open_us	catalog_load_schema_check_us	catalog_load_query_us	catalog_load_query_prepare_us	catalog_load_query_first_row_us	catalog_load_query_row_read_us	catalog_load_query_row_hydrate_us	catalog_load_launch_plans_us	catalog_load_systems_us	catalog_load_catalog_us	result
WARMCAT-BEFORE 1 498 true 471 459165 -1  44 75 -1  ok																						
WARMCAT-BEFORE 1 503 true 467 463360 -1  46 73 -1  ok																						
WARMCAT-AFTER 1 48 true -1  2 200 34 72 498 474516 ok																						
WARMCAT-AFTER	1	48	true	-1		2	194	33	74	515	486417											ok
PERFREVIEW-20260624-WARM	1	49	true	-1		2	257	34	71	482	463078											ok
PERFREVIEW-20260624-WARM	2	48	true	-1		2	262	36	71	482	463318											ok
PERFREVIEW-20260624-WARM	3	48	true	-1		2	258	33	71	482	460238											ok
PERFREVIEW-20260624-WARM	4	49	true	-1		2	252	34	72	482	464874											ok
PERFREVIEW-20260624-WARM	5	49	true	-1		2	254	35	72	498	477128											ok
ITEM13-BEFORE-summary-reload	1	35	true	-1		3	1265	33	71	498	473355											ok
ITEM13-BEFORE-summary-reload	2	35	true	-1		2	333	34	73	515	492782											ok
ITEM13-BEFORE-summary-reload	3	47	true	-1		2	349	35	70	498	474661											ok
ITEM13-AFTER-summary-reload	1	43	true	-1		3	1051	32	74	465	440834											ok
ITEM13-AFTER-summary-reload	2	35	true	-1		2	255	31	74	482	454621											ok
ITEM13-AFTER-summary-reload	3	35	true	-1		2	267	34	69	465	441342											ok
ARCH-CATALOG-BEFORE	1	47	true	-1		2	241	33	72	448	429489											ok
ARCH-CATALOG-BEFORE	2	35	true	-1		2	242	34	71	448	425306											ok
ARCH-CATALOG-BEFORE	3	35	true	-1		2	248	34	112	448	425205											ok
ARCH-CATALOG-BEFORE	4	37	true	-1		2	356	35	70	448	428061											ok
ARCH-CATALOG-BEFORE	5	34	true	-1		2	264	33	70	465	443743											ok
ARCH-CATALOG-AFTER	1	47	true	-1		2	390	33	70	465	431151											ok
ARCH-CATALOG-AFTER	2	46	true	-1		2	244	34	73	465	437892											ok
ARCH-CATALOG-AFTER	3	35	true	-1		2	248	33	72	448	434914											ok
ARCH-CATALOG-AFTER	4	34	true	-1		2	242	34	72	448	429196											ok
ARCH-CATALOG-AFTER	5	44	true	-1		2	238	33	72	448	432142											ok
ARCH-PROJECTION-BEFORE	1	35	true	-1		2	317	32	72	448	434995											ok
ARCH-PROJECTION-BEFORE	2	47	true	-1		2	250	32	77	448	428542											ok
ARCH-PROJECTION-BEFORE	3	35	true	-1		2	270	32	76	448	429437											ok
ARCH-PROJECTION-BEFORE	4	46	true	-1		2	248	33	74	465	435881											ok
ARCH-PROJECTION-BEFORE	5	43	true	-1		2	249	32	72	465	438343											ok
ARCH-PROJECTION-AFTER	1	47	true	-1		2	249	35	72	465	437252											ok
ARCH-PROJECTION-AFTER	2	35	true	-1		2	249	33	74	465	430019											ok
ARCH-PROJECTION-AFTER	3	34	true	-1		2	249	33	72	465	430095											ok
ARCH-PROJECTION-AFTER	4	34	true	-1		2	249	34	71	465	430057											ok
ARCH-PROJECTION-AFTER	5	35	true	-1		2	317	32	71	448	435227											ok
ARCH-BOOT-BEFORE	1	35	true	-1		2	244	34	78	465	439116											ok
ARCH-BOOT-BEFORE	2	34	true	-1		2	242	32	110	465	438923											ok
ARCH-BOOT-BEFORE	3	47	true	-1		2	263	36	71	465	439287											ok
ARCH-BOOT-BEFORE	4	47	true	-1		2	269	34	71	465	439265											ok
ARCH-BOOT-BEFORE	5	35	true	-1		2	317	34	75	465	439391											ok
ARCH-BOOT-AFTER	1	47	true	-1		2	239	32	71	465	443116											ok
ARCH-BOOT-AFTER	2	35	true	-1		2	321	32	72	465	443874											ok
ARCH-BOOT-AFTER	3	35	true	-1		2	302	33	73	465	443403											ok
ARCH-BOOT-AFTER	4	34	true	-1		2	243	33	116	465	436999											ok
ARCH-BOOT-AFTER	5	42	true	-1		2	246	32	74	465	442176											ok
SHIP-20260625-DCD0DBB1	1	35	true	-1		2	246	34	73	465	442023											ok
SHIP-20260625-DCD0DBB1	2	35	true	-1		2	248	36	100	465	441412											ok
SHIP-20260625-DCD0DBB1	3	34	true	-1		2	318	35	72	465	440879											ok
SHIP-20260625-DCD0DBB1	4	44	true	-1		2	260	34	70	465	439109											ok
SHIP-20260625-DCD0DBB1	5	43	true	-1		2	245	37	70	465	445101											ok
LIFECYCLE-20260625	1	29	true	-1		2	324	31	72	2499	441319											ok
LIFECYCLE-20260625	2	32	true	-1		2	338	33	70	2499	420656											ok
LIFECYCLE-20260625	3	29	true	-1		2	312	30	71	2466	410863											ok
LIFECYCLE-20260625	4	31	true	-1		2	303	32	71	2482	413264											ok
LIFECYCLE-20260625	5	30	true	-1		2	368	31	74	2482	427005											ok
LIFECYCLE-TIDY-20260625	1	29	true	-1		2	378	31	73	2490	432520											ok
LIFECYCLE-TIDY-20260625	2	28	true	-1		2	388	31	74	2503	448624											ok
LIFECYCLE-TIDY-20260625	3	29	true	-1		2	318	29	76	2490	438242											ok
LIFECYCLE-TIDY-20260625	4	29	true	-1		2	356	28	76	2490	438568											ok
LIFECYCLE-TIDY-20260625	5	29	true	-1		2	386	30	72	2507	444057											ok
STRUCT-BEFORE-WARMCAT	1	28	true	-1		2	395	29	124	2488	434064											ok
STRUCT-BEFORE-WARMCAT	2	27	true	-1		2	379	29	120	2490	439969											ok
STRUCT-BEFORE-WARMCAT	3	25	true	-1		2	320	32	110	2489	430976											ok
STRUCT-BEFORE-WARMCAT	4	29	true	-1		2	395	30	72	2490	432682											ok
STRUCT-BEFORE-WARMCAT	5	29	true	-1		2	309	29	71	2490	433282											ok
STRUCT-AFTER-WARMCAT	1	29	true	-1		2	260	30	128	2524	460050											ok
STRUCT-AFTER-WARMCAT	2	29	true	-1		2	265	32	124	2507	459637											ok
STRUCT-AFTER-WARMCAT	3	30	true	-1		2	264	32	127	2523	457691											ok
STRUCT-AFTER-WARMCAT	4	29	true	-1		2	272	30	128	2523	457906											ok
STRUCT-AFTER-WARMCAT	5	29	true	-1		2	272	31	130	2523	464019											ok
DBQUERY-RELEASE-20260627	1	23	true	-1		2	252	30	74	2522	474371											ok
DBQUERY-RELEASE-20260627	2	28	true	-1		2	252	31	74	2520	469759											ok
DBQUERY-RELEASE-20260627	3	24	true	-1		2	250	30	71	2523	468165											ok
DBQUERY-RELEASE-20260627	4	24	true	-1		2	255	32	76	2523	471208											ok
DBQUERY-RELEASE-20260627	5	22	true	-1		2	244	30	74	2520	463123											ok
NAVPROJ-MENU-20260627	1	24	true	-1		2	262	30	106	2473	413517											ok
NAVPROJ-MENU-20260627	2	25	true	-1		2	249	30	113	2473	418667											ok
NAVPROJ-MENU-20260627	3	24	true	-1		2	254	31	116	2473	410664											ok
NAVPROJ-MENU-20260627	4	24	true	-1		2	248	31	115	2473	419379											ok
NAVPROJ-MENU-20260627	5	24	true	-1		2	308	32	73	2473	418429											ok
SQLAPP-BASE-20260627	1	24	true	-1		2	251	30	123	2473	414150											ok
SQLAPP-BASE-20260627	2	24	true	-1		2	249	30	126	2473	419007											ok
SQLAPP-BASE-20260627	3	25	true	-1		2	249	30	113	2473	412946											ok
SQLAPP-BASE-20260627	4	24	true	-1		2	249	30	111	2473	413077											ok
SQLAPP-BASE-20260627	5	25	true	-1		2	300	31	126	2473	413486											ok
SQLAPP-BASE-SQLITEFALLBACK-20260627	1	24	true	-1		2	252	31	76	2473	418377											ok
SQLAPP-BASE-SQLITEFALLBACK-20260627	2	25	true	-1		2	320	30	112	2473	413308											ok
SQLAPP-BASE-SQLITEFALLBACK-20260627	3	25	true	-1		2	249	32	111	2473	412309											ok
SQLAPP-BASE-SQLITEFALLBACK-20260627	4	25	true	-1		2	250	30	117	2474	414376											ok
SQLAPP-BASE-SQLITEFALLBACK-20260627	5	24	true	-1		2	247	31	106	2473	412672											ok
SQLAPP-METRICS-20260627	1	25	true	-1		2	343	32	74	2540	480195	1062	2356	337252	126	65	336904	212588	1	12331	127171	ok
SQLAPP-METRICS-20260627	2	25	true	-1		2	329	31	113	2540	489664	1082	2331	339333	130	68	338952	205716	1	5767	141129	ok
SQLAPP-METRICS-20260627	3	25	true	-1		2	319	30	124	2540	483421	1071	2364	335814	121	66	335469	208273	1	15781	128367	ok
SQLAPP-METRICS-20260627	4	28	true	-1		2	367	29	75	2540	481590	1073	10046	339051	119	71	338744	233781	1	5813	125586	ok
